Collecton Name,Request Name,Method,Url,Status,Code,Response Time,Reponse Size,Executed,Failed,Skippped,Total Assertions,Executed Count,Failed Count,Skipped Count,Response Body
My Collection,First request,GET,https://api.instantwebtools.net/v1/airlines/1,OK,200,829,279,First request,,,1,1,0,0,"{""id"":1,""name"":""Sri Lankan Airways"",""country"":""Sri Lanka"",""logo"":""https://upload.wikimedia.org/wikipedia/en/thumb/9/9b/Qatar_Airways_Logo.svg/sri_lanka.png"",""slogan"":""From Sri Lanka"",""head_quaters"":""Katunayake, Sri Lanka"",""website"":""www.srilankaairways.com"",""established"":""1990""}"
My Collection,Second request,GET,https://api.instantwebtools.net/v1/airlines/2,OK,200,294,296,Second request,,,1,1,0,0,"{""id"":2,""name"":""Air India"",""country"":""India"",""logo"":""https://upload.wikimedia.org/wikipedia/en/thumb/e/e3/Air_India_Logo.svg/250px-Air_India_Logo.svg.png"",""slogan"":""Your Palace in the Sky"",""head_quaters"":""Airlines House, New Delhi, India"",""website"":""https://www.airindia.in"",""established"":""1990""}"
My Collection,Third request,GET,https://api.instantwebtools.net/v1/airlines/3,OK,200,290,280,First request,,,1,1,0,0,"{""id"":3,""name"":""Las Vegas"",""country"":""America"",""logo"":""https://upload.wikimedia.org/wikipedia/en/thumb/e/e3/Air_India_Logo.svg/250px-Air_India_Logo.svg.png"",""slogan"":""world “is at your feet"",""head_quaters"":""Tony Montana"",""website"":""https://www.airindia.in"",""established"":""1991""}"
My Collection,Fourth request,GET,https://api.instantwebtools.net/v1/airlines/4,OK,200,287,226,First request,,,1,1,0,0,"{""id"":4,""name"":""munikk"",""country"":""au"",""logo"":""https://upload.wikimedia.org/wikipedia/en/thumb/9/9b/Qatar_Airways_Logo.svg/hyd.png"",""slogan"":""From au"",""head_quaters"":""kp, au"",""website"":""www.auairways.com"",""established"":""2012""}"
