Collecton Name,Request Name,Method,Url,Status,Code,Response Time,Reponse Size,Executed,Failed,Skippped,Total Assertions,Executed Count,Failed Count,Skipped Count,Response Body
New Collection,Request1,GET,https://api.instantwebtools.net/v1/airlines/1,OK,200,777,279,,,,0,0,0,0,"{""id"":1,""name"":""Sri Lankan Airways"",""country"":""Sri Lanka"",""logo"":""https://upload.wikimedia.org/wikipedia/en/thumb/9/9b/Qatar_Airways_Logo.svg/sri_lanka.png"",""slogan"":""From Sri Lanka"",""head_quaters"":""Katunayake, Sri Lanka"",""website"":""www.srilankaairways.com"",""established"":""1990""}"
New Collection,Request1,GET,https://api.instantwebtools.net/v1/airlines/1,OK,200,372,279,,,,0,0,0,0,"{""id"":1,""name"":""Sri Lankan Airways"",""country"":""Sri Lanka"",""logo"":""https://upload.wikimedia.org/wikipedia/en/thumb/9/9b/Qatar_Airways_Logo.svg/sri_lanka.png"",""slogan"":""From Sri Lanka"",""head_quaters"":""Katunayake, Sri Lanka"",""website"":""www.srilankaairways.com"",""established"":""1990""}"
New Collection,Request1,GET,https://api.instantwebtools.net/v1/airlines/1,OK,200,320,279,,,,0,0,0,0,"{""id"":1,""name"":""Sri Lankan Airways"",""country"":""Sri Lanka"",""logo"":""https://upload.wikimedia.org/wikipedia/en/thumb/9/9b/Qatar_Airways_Logo.svg/sri_lanka.png"",""slogan"":""From Sri Lanka"",""head_quaters"":""Katunayake, Sri Lanka"",""website"":""www.srilankaairways.com"",""established"":""1990""}"
New Collection,Request1,GET,https://api.instantwebtools.net/v1/airlines/1,OK,200,284,279,,,,0,0,0,0,"{""id"":1,""name"":""Sri Lankan Airways"",""country"":""Sri Lanka"",""logo"":""https://upload.wikimedia.org/wikipedia/en/thumb/9/9b/Qatar_Airways_Logo.svg/sri_lanka.png"",""slogan"":""From Sri Lanka"",""head_quaters"":""Katunayake, Sri Lanka"",""website"":""www.srilankaairways.com"",""established"":""1990""}"
New Collection,Request1,GET,https://api.instantwebtools.net/v1/airlines/1,OK,200,992,279,,,,0,0,0,0,"{""id"":1,""name"":""Sri Lankan Airways"",""country"":""Sri Lanka"",""logo"":""https://upload.wikimedia.org/wikipedia/en/thumb/9/9b/Qatar_Airways_Logo.svg/sri_lanka.png"",""slogan"":""From Sri Lanka"",""head_quaters"":""Katunayake, Sri Lanka"",""website"":""www.srilankaairways.com"",""established"":""1990""}"
New Collection,Request1,GET,https://api.instantwebtools.net/v1/airlines/1,OK,200,453,279,,,,0,0,0,0,"{""id"":1,""name"":""Sri Lankan Airways"",""country"":""Sri Lanka"",""logo"":""https://upload.wikimedia.org/wikipedia/en/thumb/9/9b/Qatar_Airways_Logo.svg/sri_lanka.png"",""slogan"":""From Sri Lanka"",""head_quaters"":""Katunayake, Sri Lanka"",""website"":""www.srilankaairways.com"",""established"":""1990""}"
New Collection,Request1,GET,https://api.instantwebtools.net/v1/airlines/1,OK,200,321,279,,,,0,0,0,0,"{""id"":1,""name"":""Sri Lankan Airways"",""country"":""Sri Lanka"",""logo"":""https://upload.wikimedia.org/wikipedia/en/thumb/9/9b/Qatar_Airways_Logo.svg/sri_lanka.png"",""slogan"":""From Sri Lanka"",""head_quaters"":""Katunayake, Sri Lanka"",""website"":""www.srilankaairways.com"",""established"":""1990""}"
New Collection,Request1,GET,https://api.instantwebtools.net/v1/airlines/1,OK,200,687,279,,,,0,0,0,0,"{""id"":1,""name"":""Sri Lankan Airways"",""country"":""Sri Lanka"",""logo"":""https://upload.wikimedia.org/wikipedia/en/thumb/9/9b/Qatar_Airways_Logo.svg/sri_lanka.png"",""slogan"":""From Sri Lanka"",""head_quaters"":""Katunayake, Sri Lanka"",""website"":""www.srilankaairways.com"",""established"":""1990""}"
New Collection,Request1,GET,https://api.instantwebtools.net/v1/airlines/1,OK,200,1162,279,,,,0,0,0,0,"{""id"":1,""name"":""Sri Lankan Airways"",""country"":""Sri Lanka"",""logo"":""https://upload.wikimedia.org/wikipedia/en/thumb/9/9b/Qatar_Airways_Logo.svg/sri_lanka.png"",""slogan"":""From Sri Lanka"",""head_quaters"":""Katunayake, Sri Lanka"",""website"":""www.srilankaairways.com"",""established"":""1990""}"
New Collection,Request1,GET,https://api.instantwebtools.net/v1/airlines/1,OK,200,444,279,,,,0,0,0,0,"{""id"":1,""name"":""Sri Lankan Airways"",""country"":""Sri Lanka"",""logo"":""https://upload.wikimedia.org/wikipedia/en/thumb/9/9b/Qatar_Airways_Logo.svg/sri_lanka.png"",""slogan"":""From Sri Lanka"",""head_quaters"":""Katunayake, Sri Lanka"",""website"":""www.srilankaairways.com"",""established"":""1990""}"
